Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
531000,AM,Kringvarp ForoyaUt.,0000,2400,Faroese,Akraberg,Faroe Islands,1234567,,10,ND,KVF,Aoki
531000,AM,NHK AM Imari,0000,2400,Japanese,Saga-Imari,Japan,1234567,,0.1,,NHK AM,Aoki
531000,AM,NHK AM Morioka,0000,2400,Japanese,Iwate-Morioka,Japan,1234567,,10,,NHK AM JOQG,Aoki
531000,AM,NHK AM Nago,0000,2400,Japanese,Okinawa-Nago,Japan,1234567,,1,,NHK AM,Aoki
531000,AM,NHK AM Niihama,0000,2400,Japanese,Ehime-Niihama,Japan,1234567,,0.5,,NHK AM,Aoki
531000,AM,R.Algerie Internationale,0000,2400,Ara/Fre/Eng/Spa,F'Kirina,Algeria,1234567,,600,,ALGI,Aoki
531000,,R.Algiers Int.,0450,1330,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1330,1400,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1400,1430,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1430,1600,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1600,1630,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1630,1700,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1700,1730,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1730,1900,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1900,1930,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,1930,2000,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2000,2200,A,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2200,2300,F,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2300,2315,E,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2315,2330,S,,Algeria,,North Africa,,,Algeria,EiBi
531000,,R.Algiers Int.,2330,0450,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
540000,AM,CNR 1 Voice of China,0000,2400,Chinese,Jagdaqi-Heilongjiang,China,1234567,,10,,CNR1 a26,Aoki
540000,AM,NHK AM Ishigaku,0000,2400,Japanese,Okinawa-Ishigaki,Japan,1234567,,5,,NHK AM,Aoki
540000,AM,NHK AM Kitakyushu,0000,2400,Japanese,Fukuoka-Kitakyushu,Japan,1234567,,1,,NHK AM JOSK,Aoki
540000,AM,NHK AM Matsumoto,0000,2400,Japanese,Matsumoto,Japan,1234567,,1,,NHK AM,Aoki
540000,AM,NHK AM Miyazaki,0000,2400,Japanese,Miyazaki,Japan,1234567,,5,,NHK AM JOMG,Aoki
540000,AM,NHK AM Nanao,0000,2400,Japanese,Ishikawa-Nanao,Japan,1234567,,1,,NHK AM,Aoki
540000,AM,NHK AM Yamagata,0000,2400,Japanese,Yamagata,Japan,1234567,,5,,JOJG,Aoki
540000,AM,P1-Kossuth Radio,0330,2130,Hungarian           1,Solt,Hungary,1234567,,000,ND,MR1,Aoki
540000,AM,R.KUWAIT,0000,2400,Arabic,Sulaibiyah,Kuwait,1234567,,600,ND,MOI b25,Aoki
540000,AM,Yaan Kraw haa-sii-suun,0000,2400,Thai,Bangkok,Thailand,1234567,,10,,,Aoki
549000,AM,CNR 5,2055,1705,Chinese             1,Putian Fujian 824,China,1234567,,200,,CNR5,Aoki
549000,AM,NHK AM Naha,0000,2400,Japanese,Okinawa-Naha,Japan,1234567,,10,,JOAP,Aoki
549000,AM,UR 1 Persha Programa,0000,2400,Ukrainian,Mykolaiv Luch,Ukraine,1234567,,400,,UR 1,Aoki
549000,,CNR5 Cross-Strait Radio,0000,0900,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,0900,1000,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,1000,1705,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,2055,2300,M,,China,,Taiwan,,,China,EiBi
549000,,CNR5 Cross-Strait Radio,2300,2400,M,,China,,Taiwan,,,China,EiBi
558000,AM,Muravideki Magyar Radio,0000,2400,Slovenian,Cerklje,Slovenia,1234567,,25,,,Aoki
558000,AM,R.Iran,0200,1630,Persian,Iranshahr,Iran,1234567,,600,,IRIB b25,Aoki
558000,AM,Radio Kansai (CRK),0000,2400,Japanese,Kobe,Japan,1234567,,20,,JOCR,Aoki
567000,AM,Lao National Radio,2155,1300,Lao,Vientiane/Km,Laos,1234567,,200,,LNR,Aoki
567000,AM,NHK AM Sapporo,0000,2400,Japanese,Sapporo,Japan,1234567,,100,,JOIK,Aoki
567000,AM,RNE Radio 5,0000,2400,Spanish,Murcia,Spain,1234567,,50,ND,RNE5,Aoki
576000,AM,BNR Horizont,0000,2400,Bulgalian,Gramada,Bulgaria,1234567,,200,ND,BNR,Aoki
576000,AM,NHK AM Hamamatsu,0000,2400,Japanese,Hamamatsu,Japan,1234567,,1,,JODG,Aoki
576000,AM,NHK AM Kagoshima,0000,2400,Japanese,Kagoshima,Japan,1234567,,10,,JOHG,Aoki
576000,AM,NHK AM Ofunato,0000,2400,Japanese,Iwate-Ofunato,Japan,1234567,,0.5,,NHK AM,Aoki
576000,AM,R.Algerie Internationale,0000,2400,Ara/Fre/Eng/Spa,B?char/Kenadsa         A,LG 3,1234567,,400,,LGI,Aoki
576000,AM,R.Myanmar,2300,1700,Burmese,Yangon,MMR,1234567,,100,,MRTV //5985,Aoki
576000,AM,RNE Radio Nacional,0000,2400,Spanish,Palau de Plegamans,Spain,1234567,,100,,RNE1,Aoki
576000,AM,VO ISLAMIC REP.IRAN,0000,2400,Arabic,Bandar-e Mahshahr,Iran,1234567,,300,,IRIB a26,Aoki
576000,,R.Algiers Int.,0450,1330,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1330,1400,E,,Algeria,,North Africa,,,Algeria,EiBi
